['price', 'hours', 'minute', 'seconds']  from C:\D-folder\data\weekdaywise-data\Thursday\2022-06-09
34934.1, 14, 47, 45
34934.1, 14, 47, 46
34932.8, 14, 47, 47
34934.6, 14, 47, 49
34933.8, 14, 47, 50
34933.7, 14, 47, 51
34933.4, 14, 47, 52
34932.6, 14, 47, 53
34931.45, 14, 47, 54
34931.9, 14, 47, 56
34930.95, 14, 47, 57
34930.95, 14, 47, 58
34930.25, 14, 47, 59
34929.95, 14, 48, 1
34926.25, 14, 48, 2
34927.8, 14, 48, 3
34926.6, 14, 48, 4
34929.6, 14, 48, 5
34932.45, 14, 48, 7
34932.1, 14, 48, 8
34934.05, 14, 48, 9
34934.05, 14, 48, 10
34933.4, 14, 48, 11
34930.0, 14, 48, 13
34933.9, 14, 48, 15
34929.8, 14, 48, 16
34930.85, 14, 48, 17
34931.6, 14, 48, 18
34932.15, 14, 48, 20
34929.15, 14, 48, 21
34930.1, 14, 48, 22
34932.5, 14, 48, 23
34931.8, 14, 48, 24
34929.95, 14, 48, 25
34928.8, 14, 48, 26
34929.75, 14, 48, 28
34931.15, 14, 48, 29
34931.95, 14, 48, 30
34931.0, 14, 48, 31
34930.8, 14, 48, 32
34932.3, 14, 48, 33
34932.3, 14, 48, 34
34932.7, 14, 48, 35
34934.15, 14, 48, 36
34934.4, 14, 48, 38
34936.05, 14, 48, 39
34936.05, 14, 48, 40
34934.25, 14, 48, 42
34933.5, 14, 48, 43
34934.4, 14, 48, 44
34932.75, 14, 48, 46
34930.95, 14, 48, 47
34931.4, 14, 48, 48
34934.35, 14, 48, 49
34934.3, 14, 48, 51
34935.1, 14, 48, 52
34933.8, 14, 48, 53
34934.7, 14, 48, 54
34934.3, 14, 48, 56
34932.4, 14, 48, 57
34935.1, 14, 48, 58
34935.9, 14, 48, 59
34935.35, 14, 49, 0
34934.1, 14, 49, 2
34934.55, 14, 49, 3
34934.65, 14, 49, 4
34933.75, 14, 49, 6
34933.9, 14, 49, 7
34932.8, 14, 49, 8
34933.9, 14, 49, 9
34933.9, 14, 49, 10
34934.3, 14, 49, 11
34927.7, 14, 49, 13
34928.7, 14, 49, 14
34928.7, 14, 49, 15
34931.15, 14, 49, 16
34932.95, 14, 49, 17
34934.85, 14, 49, 19
34931.75, 14, 49, 20
34932.8, 14, 49, 21
34931.1, 14, 49, 22
34929.45, 14, 49, 23
34931.55, 14, 49, 24
34930.95, 14, 49, 25
34930.15, 14, 49, 26
34931.35, 14, 49, 27
34932.65, 14, 49, 29
34933.25, 14, 49, 30
34931.2, 14, 49, 31
34929.85, 14, 49, 32
34929.6, 14, 49, 33
34927.5, 14, 49, 34
34928.25, 14, 49, 35
34927.8, 14, 49, 37
34930.05, 14, 49, 38
34929.1, 14, 49, 39
34938.65, 14, 49, 41
34938.1, 14, 49, 42
34939.4, 14, 49, 43
34939.85, 14, 49, 45
34939.15, 14, 49, 46
34938.0, 14, 49, 47
34939.6, 14, 49, 49
34939.45, 14, 49, 50
34938.75, 14, 49, 52
34938.95, 14, 49, 53
34939.25, 14, 49, 54
34939.55, 14, 49, 55
34939.1, 14, 49, 56
34938.95, 14, 49, 57
34939.5, 14, 49, 59
34938.7, 14, 50, 0
34938.9, 14, 50, 1
34939.7, 14, 50, 2
34939.05, 14, 50, 3
34939.2, 14, 50, 4
34939.0, 14, 50, 5
34938.85, 14, 50, 7
34944.75, 14, 50, 9
34943.5, 14, 50, 10
34940.0, 14, 50, 11
34939.3, 14, 50, 12
